#SET|Q|ID|DIFF|KEY|FMT|FIG|STEM|CHOICES|DISTRACTOR_LOGIC
Area and Volume 1|1.1|5252e606|372|C|mcq|-|The side length of a square is 55 cm. What is the area, in cm^2, of the square?|110;220;3025;12100|A=2s (doubled instead of squared); B=4s (perimeter); C=s^2 CORRECT; D=(2s)^2 (squared the doubled value)
Area and Volume 1|1.2|59cb654c|369|A|mcq|-|The area of a square is 64 square inches. What is the side length, in inches, of this square?|8;16;64;128|A=sqrt(A) CORRECT; B=A/4 (used perimeter relation); C=A itself (no operation); D=2A
Area and Volume 1|1.3|0837c3b9|476|B|mcq|-|Triangle ABC ~ triangle DEF, AB and DE corresponding. If DE=2AB and perimeter of ABC is 20, what is perimeter of DEF?|10;40;80;120|A=20/2 (inverted scale factor); B=20*2 CORRECT; C=20*4 (used area ratio k^2); D=20*6
Area and Volume 1|1.4|c88183f7|369|C|mcq|-|A rectangle has a length of 13 and a width of 6. What is the perimeter of the rectangle?|12;26;38;52|A=2w only; B=2l only; C=2(l+w) CORRECT; D=4l (treated as square on length)
Area and Volume 1|1.5|29e9b28c|660|A|mcq|triangle-3-sides-xyz|The triangle shown has a perimeter of 22 units. If x=9 and y=7 units, what is the value of z, in units?|6;7;9;16|A=22-9-7 CORRECT; B=y (copied a given); C=x (copied a given); D=x+y (added instead of subtracting from perimeter)
Area and Volume 1|1.6|3453aafc|397|D|mcq|-|What is the area, in square centimeters, of a rectangle with a length of 36 cm and a width of 34 cm?|70;140;1156;1224|A=l+w (added); B=2(l+w) (perimeter); C=34^2 (squared the width); D=l*w CORRECT
Area and Volume 1|1.7|f60bb551|394|A|mcq|-|The area of a rectangle is 630 square inches. The length is 70 inches. What is the width, in inches?|9;70;315;560|A=A/l CORRECT; B=l repeated; C=A/2 (halved area); D=A-70
Area and Volume 1|1.8|4420e500|369|B|mcq|-|What is the area of a rectangle with a length of 4 cm and a width of 2 cm?|6 cm^2;8 cm^2;12 cm^2;36 cm^2|A=l+w (added); B=l*w CORRECT; C=2(l+w) (perimeter); D=(l+w)^2 (perimeter squared)
Area and Volume 1|1.9|165c30c4|242|2048|spr|-|A rectangle has a length of 64 inches and a width of 32 inches. What is the area, in square inches?|-|SPR: 64*32=2048
Area and Volume 1|1.10|d683a9cc|598|A|mcq|rect-prism-6-2-3|Figure shows edges of a right rectangular prism (6 cm, 2 cm, 3 cm). V=lwh. What is the volume, in cubic cm?|36;24;12;11|A=6*2*3 CORRECT; B=missing a factor (used 4*6 or 2 edges only); C=6*2 (two edges only); D=6+2+3 (summed edges)
Area and Volume 1|1.11|f39f88b7|246|1800|spr|-|A triangle has a base length of 40 cm and a height of 90 cm. What is the area, in square cm?|-|SPR: (1/2)(40)(90)=1800; common error 3600 (forgot 1/2)
Area and Volume 1|1.12|93f48423|391|C|mcq|-|What is the area, in square inches, of a rectangle with a length of 7 inches and a width of 6 inches?|13;20;42;84|A=l+w; B=2(l+w) (perimeter); C=l*w CORRECT; D=2lw (doubled area)
Area and Volume 1|1.13|d2047497|369|C|mcq|-|What is the area of a rectangle with a length of 17 cm and a width of 7 cm?|24 cm^2;48 cm^2;119 cm^2;576 cm^2|A=l+w; B=2(l+w) (perimeter); C=l*w CORRECT; D=(l+w)^2 (perimeter-ish squared)
Area and Volume 1|1.14|a490003a|407|D|mcq|-|The width of a rectangle is 7 cm. The length is 40 cm longer than the width. What is the area, in square cm?|7;14;54;329|A=w only; B=2w; C=l+w=47 minus? (sum-based error 7+47=54); D=7*47 CORRECT
Area and Volume 1|1.15|50774285|407|A|mcq|-|Each base of a right rectangular prism has length 19 in and width 8 in. Volume is 2736 cubic inches. What is the height, in inches?|18;27;144;152|A=V/(lw) CORRECT; B=misdivision; C=V/19 (divided by one edge only); D=l*w (the base area itself)
Area and Volume 1|1.16|fc5ef8d3|573|C|mcq|table-perimeters|Table gives perimeters of similar triangles TUV (50) and XYZ (150), TU corresponds to XY. Length of TU is 6. What is the length of XY?|2;6;18;56|A=6/3 (inverted ratio); B=6 (copied given); C=6*3 CORRECT; D=6+50 (added perimeter)
Area and Volume 1|1.17|0e40dfb0|407|D|mcq|-|A rectangle has a length of 3 units and a width of 39 units. Which expression gives the area, in square units?|2(3+39);2(3*39);3+39;3*39|A=perimeter formula; B=twice the area; C=sum of sides; D=l*w CORRECT
Area and Volume 1|1.18|2b41a4c4|243|880|spr|-|A right rectangular prism has length 11 m, width 8 m, height 10 m. What is the volume, in cubic meters?|-|SPR: 11*8*10=880
Area and Volume 1|1.19|babd7461|656|A|mcq|two-right-triangles-JKL-RST|Triangle JKL ~ RST, J->R, K->S. JK=15, perimeter JKL=36, RS=135. What is the perimeter of RST?|324;540;2916;8100|A=36*(135/15)=36*9 CORRECT; B=4*135 (mixed up); C=36*81 (used k^2); D=900*9 (compounded scaling)
Area and Volume 1|1.20|bb560789|407|D|mcq|-|Triangle R has area 80 cm^2. Square S has side lengths 4 cm. What is the total area of R and S, in cm^2?|42;44;84;96|A=80/2+2; B=80/2+4 (halved triangle area); C=80+4 (added side not area); D=80+4^2 CORRECT
Area and Volume 2|2.1|f67e4efc|401|A|mcq|-|A right circular cylinder has a volume of 45pi. If the height is 5, what is the radius?|3;4.5;9;40|A=sqrt(45/5)=3 CORRECT; B=45/(2*5) (halved); C=45/5=9 (forgot to take sqrt); D=45-5
Area and Volume 2|2.2|5afbdc8e|460|C|mcq|-|What is the length of one side of a square that has the same area as a circle with radius 2?|2;sqrt(2pi);2sqrt(pi);2pi|A=r itself; B=sqrt(2pi) (used C=2pi r as area); C=sqrt(4pi)=2sqrt(pi) CORRECT; D=2pi (used circumference)
Area and Volume 2|2.3|ec5d4823|263|360|spr|-|What is the volume, in cubic cm, of a right rectangular prism with length 4 cm, width 9 cm, height 10 cm?|-|SPR: 4*9*10=360
Area and Volume 2|2.4|151eda3c|472|B|mcq|-|Two cylindrical containers each height 50 cm. Radius of A is 16 cm; radius of B is 25% longer. What is the volume of container B, in cubic cm?|16000pi;20000pi;25000pi;31250pi|A=volume of A (ignored the 25%); B=pi(20)^2(50) CORRECT; C=scaled volume by 1.25 instead of radius; D=scaled radius by 1.25^2
Area and Volume 2|2.5|38517165|217|31|spr|-|A circle has a circumference of 31pi cm. What is the diameter, in cm?|-|SPR: C=pi*d so d=31; common error 15.5 (solved for radius)
Area and Volume 2|2.6|08b7a3f5|266|27|spr|-|A triangular prism has height 8 cm and volume 216 cm^3. V=Bh. What is the area, in cm^2, of the base?|-|SPR: 216/8=27
Area and Volume 2|2.7|a2e76b60|518|C|mcq|-|Cylindrical can filled to top with syrup. Base area 75 cm^2, height 10 cm. 110 cm^3 of syrup needed. Closest total volume of fruit?|7.5 cm^3;185 cm^3;640 cm^3;750 cm^3|A=75/10 (divided); B=75+110 (added); C=750-110 CORRECT; D=750 (can volume, forgot to subtract syrup)
Area and Volume 2|2.8|37dde49f|556|D|mcq|tapered-glass-k|Glass with Volume=7pi k^3/48 holds max 473 cm^3. What is the value of k, in cm?|2.52;7.67;7.79;10.11|A=cube root of (473*48/(7pi))/4; B=used 48/7 without pi; C=dropped a factor; D=cbrt(473*48/(7pi)) CORRECT
Area and Volume 2|2.9|cf53cb56|561|C|mcq|square-diagonals-on-axes|In the xy-plane, square ABCD has diagonals on the x- and y-axes with vertices at (0,5),(-5,0),(0,-5),(5,0). What is the area, in square units?|20;25;50;100|A=4*5 (perimeter-ish); B=5^2 (treated 5 as the side); C=d^2/2=100/2 CORRECT; D=d^2 (treated diagonal as side)
Area and Volume 2|2.10|d621cffb|398|D|mcq|-|A sphere has a radius of 17/5 feet. What is the volume, in cubic feet?|5pi/17;68pi/15;32pi/5;19652pi/375|A=reciprocal radius; B=(4/3)pi r with r not cubed; C=misapplied; D=(4/3)pi(17/5)^3 CORRECT
Area and Volume 2|2.11|3b931fb0|246|29|spr|-|A right circular cylinder has volume 377 cm^3 and base area 13 cm^2. What is the height, in cm?|-|SPR: 377/13=29
Area and Volume 2|2.12|e0874bc2|573|D|mcq|table-perimeters|Table gives perimeters of similar triangles TUV (37) and XYZ (333), TU corresponds to XY. TU is 18. What is the length of XY?|2;18;55;162|A=18/9 (inverted ratio); B=18 (copied); C=18+37 (added perimeter); D=18*9 CORRECT
Area and Volume 2|2.13|c0586eb5|394|C|mcq|-|A cylinder has a diameter of 8 inches and a height of 12 inches. What is the volume, in cubic inches?|16pi;96pi;192pi;768pi|A=pi r^2 only (no height); B=pi*8*12 (used diameter, no square); C=pi(4)^2(12) CORRECT; D=pi(8)^2(12) (used diameter as radius)
